ID,CITY,COUNTRY,SUNRISE,SUNSET,DAYLIGHT_HOURS,TIMEZONE,RANK
3413829,Reykjavik,IS,21:01:58,17:52:44,20.85,0,1
658225,Helsinki,FI,21:56:42,16:43:19,18.78,10800,2
3143244,Oslo,NO,21:56:16,16:37:16,18.68,7200,3
2673730,Stockholm,SE,21:33:08,16:01:51,18.48,7200,4
524901,Moscow,RU,21:45:51,15:12:43,17.45,10800,5
2618425,Copenhagen,DK,22:26:34,15:52:25,17.43,7200,6
2964574,Dublin,IE,22:57:30,15:52:10,16.91,3600,7
2950159,Berlin,DE,22:43:43,15:28:31,16.75,7200,8
2759794,Amsterdam,NL,23:18:40,16:01:44,16.72,7200,9
756135,Warsaw,PL,22:15:01,14:56:23,16.69,7200,10
