City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,300,,6.69
108410,39,349,0.29,0.38
112931,1,114,3.9,1.1
184745,20,260,,2.06
264371,0,34,2.68,1.79
292223,0,180,,3.09
293397,40,220,,2.06
360630,0,350,,3.09
524901,100,245,8.04,3.93
658225,100,228,7.6,6.26
745044,0,80,,3.09
756135,0,230,,3.6
1275339,75,250,8.75,3.6
1581130,99,122,6.21,2.6
1609350,100,257,5.78,2.28
1642911,20,240,,1.54
1668341,20,200,,1.54
1701668,40,0,,0.51
1735161,20,0,,0.0
1816670,90,88,4.59,2.85
1835848,100,360,,1.03
1850147,75,20,,2.57
1880252,75,140,,4.12
2063523,0,40,,3.09
2147714,0,305,2.24,0.45
2193733,46,89,3.13,1.34
2332459,20,210,,2.06
2553604,0,20,,1.79
2618425,100,240,,3.09
2643743,12,240,,6.17
2657896,0,30,,1.03
2673730,75,300,,3.6
2759794,20,204,7.15,6.26
2761369,7,339,1.34,0.45
2800866,20,240,,4.12
2950159,75,260,,4.12
2964574,75,250,,4.63
2988507,0,340,,1.54
3054643,5,310,1.79,1.34
3067696,0,250,,2.06
3117735,0,220,,3.09
3143244,86,339,3.24,1.8
3169070,0,210,,1.54
3369157,75,40,,8.75
3413829,100,0,,0.51
3435910,0,320,,3.6
3448433,0,175,1.04,1.09
3530597,100,70,,2.06
3871336,0,225,4.02,2.24
3936456,0,180,,5.14
4887398,75,100,,5.66
5128581,0,304,8.05,6.26
5368361,40,250,,5.14
5856195,75,70,10.8,7.2
6167865,20,260,10.29,7.72
6173331,100,230,,2.06
