City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,24.95,24.95,24.95,24.36,33,1004,1004
108410,28.98,28.98,28.98,27.35,13,1003,1003
112931,25.4,25.4,24.99,24.49,19,1013,1013
184745,15.62,15.62,15.62,15.69,94,1020,1020
264371,19.3,20.37,17.31,19.11,70,1010,1010
292223,29.96,29.96,29.14,34.02,66,999,999
293397,19.58,20.1,17.84,19.58,76,1012,1012
360630,22.42,22.42,21.9,21.76,40,1013,1013
524901,13.24,15.29,13.24,11.74,43,1017,1017
658225,11.17,12.16,10.43,10.67,89,1008,1008
745044,16.18,17.04,16.04,15.6,67,1010,1010
756135,14.36,15.91,13.69,14.28,93,1006,1006
1275339,25.99,25.99,25.99,25.99,89,1001,1001
1581130,26.0,26.0,26.0,26.0,90,1008,1008
1609350,27.94,28.94,27.94,33.9,92,1008,1008
1642911,28.98,30.85,27.96,34.47,79,1012,1012
1668341,23.87,23.93,22.96,24.69,91,1008,1008
1701668,30.51,31.17,30.03,37.44,74,1012,1012
1735161,26.9,29.17,26.4,29.43,79,1011,1011
1816670,23.94,23.94,23.94,23.54,44,1013,1013
1835848,21.76,21.76,19.78,21.66,64,1017,1017
1850147,21.31,23.13,19.75,21.01,58,1018,1018
1880252,30.03,30.97,29.38,35.61,72,1010,1010
2063523,15.41,16.12,14.36,14.63,62,1018,1018
2147714,15.3,16.29,14.83,14.64,67,1020,1020
2193733,18.99,19.53,18.5,18.82,72,995,995
2332459,27.55,27.55,27.55,31.0,80,1013,1013
2553604,24.07,26.12,24.07,24.33,69,1015,1015
2618425,10.49,10.94,8.19,9.87,87,1015,1015
2643743,14.63,15.57,13.28,14.11,75,1020,1020
2657896,12.26,13.05,10.93,12.05,96,1024,1024
2673730,8.78,10.03,7.36,8.21,90,1008,1008
2759794,10.15,11.05,8.81,9.47,86,1021,1021
2761369,13.3,13.96,12.12,12.88,84,1014,1014
2800866,11.46,12.47,11.08,11.12,94,1022,1022
2950159,12.62,13.27,11.72,12.16,85,1016,1016
2964574,13.56,14.93,12.0,13.37,92,1011,1011
2988507,11.02,12.43,10.28,10.48,88,1024,1024
3054643,15.2,15.71,14.33,14.81,78,1011,1011
3067696,11.07,11.78,10.16,10.66,93,1016,1016
3117735,22.32,23.52,19.53,21.78,45,1023,1023
3143244,5.31,9.03,5.31,4.39,91,1010,1010
3169070,18.36,18.96,17.21,17.9,63,1015,1015
3369157,14.54,15.49,13.84,14.43,91,1021,1021
3413829,7.16,7.16,7.16,5.55,65,1001,1001
3435910,8.79,9.91,7.74,5.09,73,1025,1025
3448433,15.92,15.92,15.92,16.07,96,1020,1020
3530597,20.53,21.17,20.53,20.02,53,1014,1014
3871336,14.67,15.1,12.7,13.92,66,1018,1018
3936456,18.83,18.83,16.14,18.94,83,1014,1014
4887398,13.57,14.75,12.26,13.18,84,1017,1017
5128581,12.48,13.1,11.57,12.06,87,1022,1022
5368361,18.55,20.56,16.65,18.42,75,1014,1014
5856195,28.03,28.9,26.82,28.67,52,1018,1018
6167865,11.84,13.06,10.05,11.48,92,1018,1018
6173331,25.98,26.83,25.41,25.98,48,1009,1009
