City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,330,,7.2
108410,0,177,5.17,3.87
112931,20,190,,4.12
184745,75,200,,4.63
264371,20,330,,4.12
292223,0,70,,2.06
293397,75,210,,3.09
360630,0,0,,0.0
524901,25,127,7.82,4.55
658225,0,130,,3.09
745044,20,140,,2.06
756135,75,315,25.48,25.48
1275339,75,260,,3.09
1581130,99,26,5.89,6.1
1609350,100,201,4.38,3.84
1642911,40,90,,2.06
1668341,75,110,,4.12
1701668,75,233,10.28,5.36
1735161,20,0,,1.54
1816670,49,212,4.53,3.03
1835848,0,270,,4.63
1850147,75,130,,2.57
1880252,75,40,,2.57
2063523,99,50,,4.63
2147714,75,200,,8.75
2193733,100,350,,7.72
2332459,75,20,,2.06
2553604,40,120,,4.12
2618425,75,290,,4.12
2643743,100,190,5.81,3.13
2657896,75,218,5.81,4.02
2673730,0,250,,2.57
2759794,20,162,4.02,2.68
2761369,75,310,,8.23
2800866,98,210,,2.57
2950159,75,308,9.83,5.36
2964574,75,230,,8.23
2988507,0,230,,2.06
3054643,0,310,,9.26
3067696,75,310,,8.75
3117735,0,84,3.13,1.79
3143244,0,293,2.4,1.16
3169070,0,10,,2.06
3369157,75,360,,8.75
3413829,75,120,,2.06
3435910,0,220,0.0,8.05
3448433,100,240,8.1,3.55
3530597,100,60,,5.14
3871336,100,163,1.2,0.84
3936456,100,190,,3.6
4887398,64,254,0.89,0.45
5128581,100,54,7.15,5.36
5368361,100,190,,2.06
5856195,20,40,,4.12
6167865,100,70,0.0,6.71
6173331,40,190,,6.71
